# sketch,characterise_v2loop
# mode_number,1
# mode_name,1_deadline_ts_before
# label,B_b2
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,500.0000
# dt_sd_us,0.6892
# dt_min_us,499
# dt_max_us,501
# fs_hz_from_mean,2000.0000
# mean_code,1872.1514
# sd_code,0.9165
# min_code,1866
# max_code,1878
# mean_volts,1.508693
# sd_millivolts,0.7385
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
0,1873
500,1873
1000,1873
1500,1872
2000,1873
2500,1872
3000,1872
3500,1874
4001,1872
4500,1875
5000,1872
5501,1872
6000,1875
6500,1872
7001,1874
7500,1875
8000,1874
8501,1872
9000,1872
9501,1873
10000,1873
10500,1872
11000,1871
11500,1872
12000,1871
12500,1872
13000,1873
13500,1872
14000,1872
14500,1875
15001,1871
15500,1873
16000,1872
16500,1874
17000,1873
17500,1875
18001,1874
18501,1871
19000,1872
19500,1873
20000,1872
20500,1872
21000,1872
21500,1873
22001,1874
22500,1877
23001,1873
23500,1875
24001,1874
24500,1874
25001,1873
25501,1872
26000,1872
26501,1872
27000,1871
27500,1872
28000,1872
28500,1872
29001,1872
29501,1872
30000,1873
30500,1872
31000,1873
31500,1872
32000,1872
32500,1872
33000,1873
33501,1874
34000,1872
34500,1872
35000,1874
35500,1873
36001,1873
36501,1875
37000,1872
37500,1872
38000,1873
38501,1874
39000,1872
39501,1876
40000,1872
40500,1872
41000,1872
41500,1872
42000,1872
42500,1872
43000,1872
43500,1872
44001,1872
44501,1871
45000,1872
45500,1872
46001,1872
46500,1873
47000,1872
47501,1872
48000,1877
48500,1874
49000,1872
49500,1872
50000,1872
50500,1872
51001,1872
51500,1873
52001,1872
52500,1875
53000,1872
53501,1874
54000,1872
54500,1872
55001,1872
55500,1871
56000,1874
56500,1873
57000,1872
57500,1875
58000,1874
58500,1872
59001,1872
59500,1872
60000,1872
60501,1872
61000,1875
61500,1872
62000,1873
62500,1872
63000,1872
63501,1872
64000,1872
64500,1872
65001,1875
65501,1872
66000,1872
66500,1872
67000,1872
67500,1873
68000,1873
68501,1875
69000,1871
69500,1873
70000,1872
70500,1873
71000,1872
71500,1872
72001,1874
72500,1873
73001,1873
73500,1872
74000,1873
74500,1874
75000,1872
75500,1873
76001,1874
76500,1875
77000,1874
77500,1872
78001,1872
78500,1872
79001,1873
79500,1873
80001,1872
80500,1873
81000,1872
81501,1872
82000,1877
82501,1872
83000,1874
83501,1872
84000,1873
84500,1872
85001,1872
85500,1873
86001,1872
86500,1872
87000,1875
87501,1872
88000,1872
88501,1872
89000,1874
89501,1872
90000,1872
90500,1872
91000,1872
91501,1873
92000,1872
92500,1873
93001,1872
93501,1873
94000,1874
94501,1871
95000,1872
95501,1875
96000,1872
96500,1872
97000,1872
97500,1873
98000,1873
98500,1872
99000,1872
99500,1872
100000,1872
100500,1873
101001,1874
101500,1873
102001,1873
102501,1872
103000,1874
103501,1872
104000,1872
104501,1874
105000,1872
105501,1872
106000,1873
106500,1871
107001,1875
107500,1872
108001,1872
108500,1872
109000,1872
109500,1874
110000,1872
110500,1872
111001,1874
111501,1872
112000,1872
112500,1872
113001,1872
113501,1872
114000,1872
114500,1872
115001,1872
115500,1873
116000,1872
116500,1872
117001,1872
117500,1872
118001,1874
118500,1874
119000,1875
119500,1872
120000,1873
120500,1874
121000,1872
121500,1874
122001,1872
122501,1873
123000,1873
123500,1871
124000,1875
124501,1875
125000,1874
125501,1873
126000,1872
126500,1872
127000,1874
127500,1872
128000,1872
128500,1872
129000,1872
129500,1875
130001,1872
130500,1872
131001,1871
131500,1872
132000,1872
132500,1872
133000,1872
133500,1872
134000,1873
134500,1872
135000,1874
135500,1872
136000,1872
136500,1872
137000,1872
137500,1872
138000,1875
138500,1875
139000,1873
139500,1872
140000,1872
140501,1873
141000,1872
141501,1872
142000,1872
142501,1876
143000,1872
143500,1872
144000,1871
144500,1872
145001,1872
145501,1872
146000,1873
146500,1872
147000,1872
147500,1874
148000,1874
148500,1874
149001,1872
149500,1872
150000,1877
150500,1872
151000,1872
151500,1872
152000,1873
152501,1872
153000,1872
153501,1872
154000,1872
154501,1872
155000,1872
155500,1872
156001,1874
156501,1872
157000,1873
157501,1872
158000,1872
158500,1872
159000,1870
159501,1872
160000,1872
160501,1872
161000,1873
161501,1875
162000,1872
162501,1875
163000,1874
163500,1872
164001,1871
164501,1872
165000,1873
165500,1872
166000,1872
166501,1872
167000,1871
167501,1872
168000,1875
168501,1873
169000,1872
169501,1872
170000,1872
170500,1872
171001,1873
171500,1872
172001,1872
172501,1872
173000,1872
173501,1872
174000,1872
174500,1872
175000,1872
175500,1873
176000,1873
176500,1872
177000,1872
177500,1873
178000,1872
178500,1872
179001,1872
179501,1872
180000,1872
180501,1874
181000,1872
181501,1872
182000,1872
182501,1874
183000,1872
183501,1873
184000,1874
184500,1872
185000,1873
185501,1872
186000,1872
186500,1873
187001,1872
187501,1872
188000,1872
188500,1872
189000,1872
189500,1873
190001,1872
190500,1875
191001,1872
191500,1872
192001,1872
192500,1871
193001,1873
193500,1872
194000,1872
194501,1874
195000,1873
195500,1872
196000,1872
196500,1873
197000,1872
197501,1873
198000,1876
198500,1872
199000,1872
199500,1872
200001,1873
200500,1872
201001,1872
201501,1873
202000,1872
202500,1876
203001,1872
203500,1872
204000,1874
204500,1873
205000,1871
205501,1873
206000,1872
206501,1872
207000,1871
207501,1872
208000,1871
208501,1872
209000,1872
209501,1872
210000,1874
210500,1872
211000,1873
211500,1874
212001,1872
212501,1872
213000,1872
213500,1872
214000,1873
214501,1873
215000,1872
215501,1872
216000,1874
216500,1873
217000,1873
217500,1873
218000,1874
218500,1877
219000,1872
219500,1872
220000,1872
220500,1873
221000,1873
