# sketch,characterise_v2loop
# mode_number,3
# mode_name,3_freerun_ts_before_v2_arithmetic
# label,G_stim_v2arith
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# measuring bias (Feather 2 DC midpoint), as V2 does
# bias_volts,1.526087
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1816.4101
# span_s,9.019439
# dt_mean_us,550.5028
# dt_sd_us,1.1389
# dt_min_us,549
# dt_max_us,559
# fs_hz_from_mean,1816.5211
# mean_code,1877.2457
# sd_code,955.4383
# min_code,525
# max_code,3261
# mean_volts,1.512799
# sd_millivolts,769.9503
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# crossings_pos,451
# crossings_neg,451
# sink,2621441723
# ----------------------------------------------------------
t_us,code
227929,573
228478,634
229028,743
229578,873
230128,1042
230678,1223
231228,1412
231779,1615
232328,1818
232884,2219
233435,2412
233985,2603
234535,2768
235085,2919
235636,3050
236186,3162
236737,3221
237287,3252
237837,3243
238387,3120
238937,2993
239488,2858
240038,2683
240589,2514
241139,2317
241689,2122
242239,1913
242789,1718
243340,1503
243893,1232
244443,979
244993,813
245543,692
246093,602
246643,557
247193,528
247744,531
248295,576
248850,747
249400,868
249950,1041
250501,1223
251051,1414
251601,1617
252150,1815
252701,2010
253252,2214
253802,2410
254353,2771
254903,2919
255454,3055
256004,3162
256555,3221
257105,3250
257655,3248
258205,3201
258756,3119
259306,2994
259860,2799
260410,2516
260961,2315
261510,2118
262060,1910
262611,1718
263161,1511
263712,1313
264261,1131
264812,958
265361,781
265911,606
266461,553
267011,530
267562,529
268112,573
268663,638
269213,747
269763,871
270313,1045
270867,1413
271417,1616
271967,1814
272517,2011
273068,2214
273618,2411
274168,2601
274719,2768
275268,2917
275818,3054
276368,3219
276918,3248
277469,3248
278019,3206
278568,3119
279118,2992
279669,2859
280219,2688
280769,2512
281320,2315
281874,2039
282424,1766
282975,1509
283525,1314
284076,1127
284625,959
285175,812
285727,688
286278,601
286828,558
287377,530
287927,574
288477,638
289027,743
289577,869
290127,1042
290677,1223
291228,1410
291778,1616
292328,1818
292884,2217
293434,2413
293984,2605
294535,2766
295085,2921
295635,3051
296185,3161
296737,3217
297287,3250
297837,3245
298387,3120
298937,2990
299488,2860
300038,2683
300588,2512
301138,2315
301688,2119
302238,1911
302789,1715
303339,1503
303892,1232
304443,978
304993,812
305543,688
306093,599
306643,557
307193,528
307744,534
308294,575
308849,746
309400,871
309950,1047
310501,1223
311051,1413
311602,1617
312152,1822
312702,2012
313253,2217
313803,2411
314353,2770
314903,2923
315454,3052
316004,3164
316555,3219
317105,3251
317656,3248
318206,3199
318756,3116
319306,2992
319861,2800
320412,2515
320962,2313
321511,2117
322062,1913
322612,1719
323162,1513
323714,1315
324265,1131
324816,959
325367,771
325917,599
326468,555
327018,528
327569,533
328119,573
328670,638
329220,746
329770,870
330320,1041
330874,1415
331425,1616
331975,1823
332524,2011
333075,2213
333625,2414
334175,2601
334726,2768
335276,2923
335826,3050
336377,3221
336927,3255
337477,3248
338027,3200
338577,3122
339127,2992
339677,2860
340227,2687
340777,2512
341327,2320
341881,2029
342431,1750
342982,1511
343532,1317
344082,1126
344633,960
345183,813
345733,691
346284,601
346834,560
347383,529
347933,571
348483,635
349033,746
349584,871
350134,1045
350684,1221
351234,1410
351784,1616
352334,2011
352889,2219
353440,2411
353990,2606
354540,2768
355090,2923
355639,3054
356189,3155
356742,3215
357293,3250
357848,3213
358398,3120
358948,2990
359498,2862
360048,2684
360598,2512
361148,2310
361700,2114
362249,1909
362800,1717
363351,1488
363901,1222
364450,972
365000,811
365551,688
366101,596
366651,555
367202,530
367752,529
368302,572
368856,749
369407,875
369957,1042
370508,1221
371058,1414
371607,1615
372157,1813
372709,2011
373260,2214
373810,2407
374361,2769
374911,2917
375462,3053
376012,3159
376561,3219
377111,3250
377662,3248
378211,3203
378761,3119
379312,2992
379866,2785
380416,2515
380966,2318
381516,2117
382066,1914
382616,1718
383167,1514
383719,1315
384270,1127
384820,954
385369,770
385919,598
386469,552
387019,528
387569,533
388119,574
388670,638
389220,746
389770,868
390320,1043
390874,1413
391424,1616
391974,1818
392525,2007
393076,2212
393626,2409
394177,2599
394728,2766
395277,2921
395827,3053
396378,3219
396928,3251
397477,3248
398027,3202
398578,3120
399128,2992
399678,2857
400228,2687
400779,2514
401329,2314
401884,2025
402434,1746
402985,1511
403536,1316
404086,1127
404637,958
405187,814
405739,689
406290,603
406840,547
407390,528
407940,574
408490,639
409040,750
409590,869
410140,1046
410691,1223
411240,1410
411790,1614
412340,2015
412895,2217
413446,2405
413996,2603
414545,2768
415095,2923
415645,3051
416195,3158
416745,3222
417296,3249
417849,3207
418400,3119
418950,2990
419501,2861
420051,2682
420602,2515
421152,2315
421704,2119
422253,1911
422803,1715
423354,1483
423904,1215
424454,970
425004,811
425555,690
426105,604
426655,554
427205,530
427756,531
428306,574
428860,746
429410,870
429960,1043
430510,1223
431060,1412
431610,1617
432160,1814
432712,2010
433262,2215
433812,2410
434362,2769
434912,2919
435462,3056
436012,3159
436562,3222
437112,3249
437663,3248
438213,3195
438763,3120
439313,2989
439867,2782
440417,2517
440967,2313
441517,2115
442067,1910
442618,1717
443168,1517
443719,1319
444270,1133
444820,957
445369,771
445919,602
446469,547
447019,528
447569,529
448119,569
448670,638
449220,746
449770,870
450320,1046
450874,1415
451425,1617
451975,1821
452524,2011
453075,2219
453625,2413
454175,2602
454726,2768
455277,2919
455827,3050
456376,3223
456926,3252
457477,3248
458027,3200
458577,3120
459127,2992
459677,2858
460227,2683
460777,2512
461327,2317
461881,2031
462431,1749
462982,1511
463533,1317
464083,1127
464633,955
465183,814
465734,691
466285,596
466836,557
