# sketch,characterise_v2loop
# mode_number,2
# mode_name,2_freerun_ts_before
# label,C_b1
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1852.9969
# span_s,8.841353
# dt_mean_us,539.6332
# dt_sd_us,1.0244
# dt_min_us,539
# dt_max_us,545
# fs_hz_from_mean,1853.1105
# mean_code,1872.1348
# sd_code,0.9118
# min_code,1863
# max_code,1878
# mean_volts,1.508680
# sd_millivolts,0.7348
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
1,1873
542,1872
1081,1872
1621,1873
2161,1874
2700,1872
3240,1875
3779,1872
4318,1873
4857,1873
5401,1872
5940,1872
6479,1872
7018,1874
7557,1873
8096,1878
8636,1872
9176,1873
9716,1872
10256,1873
10795,1872
11334,1875
11874,1872
12414,1872
12953,1872
13492,1872
14032,1872
14571,1874
15112,1873
15651,1873
16191,1872
16731,1875
17270,1872
17809,1872
18348,1872
18888,1874
19427,1872
19966,1875
20506,1872
21046,1872
21585,1873
22125,1872
22664,1872
23205,1875
23744,1872
24284,1872
24823,1873
25367,1872
25908,1873
26447,1874
26987,1874
27526,1872
28066,1873
28605,1872
29145,1872
29684,1872
30226,1872
30766,1872
31306,1872
31845,1870
32388,1872
32928,1872
33467,1873
34006,1875
34545,1871
35086,1872
35625,1872
36165,1872
36704,1872
37245,1872
37785,1872
38324,1872
38866,1872
39406,1872
39946,1872
40485,1872
41024,1871
41563,1871
42103,1872
42642,1872
43181,1872
43721,1872
44260,1874
44799,1872
45338,1872
45877,1872
46416,1874
46955,1874
47495,1872
48034,1873
48573,1872
49113,1871
49653,1872
50193,1872
50732,1874
51272,1873
51812,1872
52351,1873
52890,1872
53429,1872
53970,1872
54509,1872
55049,1872
55588,1872
56128,1872
56667,1872
57206,1872
57746,1872
58285,1872
58824,1872
59368,1872
59909,1872
60448,1873
60987,1872
61527,1871
62067,1872
62606,1872
63146,1874
63685,1872
64226,1872
64766,1873
65305,1872
65844,1873
66387,1873
66926,1872
67465,1872
68005,1873
68545,1877
69084,1872
69623,1873
70162,1872
70702,1873
71243,1872
71782,1872
72322,1872
72865,1872
73405,1872
73944,1873
74483,1871
75022,1871
75562,1872
76101,1872
76641,1873
77180,1873
77720,1872
78259,1872
78798,1872
79338,1874
79877,1872
80416,1872
80955,1872
81495,1872
82034,1873
82574,1872
83114,1871
83653,1872
84192,1872
84732,1873
85271,1872
85810,1872
86349,1872
86890,1871
87429,1873
87969,1872
88508,1875
89048,1872
89587,1872
90126,1874
90665,1873
91204,1872
91743,1872
92283,1872
92822,1873
93365,1875
93905,1870
94444,1871
94983,1872
95522,1872
96063,1872
96602,1872
97142,1873
97681,1871
98224,1874
98763,1872
99303,1872
99842,1875
100385,1873
100924,1873
101463,1872
102002,1872
102541,1872
103080,1875
103620,1874
104159,1873
104699,1872
105239,1872
105778,1870
106318,1872
106857,1873
107401,1871
107941,1871
108480,1872
109019,1872
109558,1872
110098,1872
110637,1873
111176,1870
111717,1873
112256,1872
112796,1874
113336,1872
113875,1872
114414,1872
114954,1872
115494,1872
116033,1872
116573,1873
117112,1870
117651,1872
118191,1871
118730,1872
119270,1872
119810,1875
120349,1872
120889,1872
121428,1872
121968,1872
122507,1875
123047,1871
123586,1872
124125,1873
124665,1872
125205,1872
125745,1872
126284,1872
126823,1871
127368,1872
127908,1875
128447,1872
128986,1875
129526,1872
130066,1873
130605,1872
131144,1872
131684,1872
132225,1872
132764,1872
133303,1873
133842,1872
134385,1872
134925,1872
135464,1873
136003,1872
136542,1873
137081,1872
137621,1872
138161,1872
138700,1872
139241,1872
139780,1873
140319,1872
140858,1872
141403,1873
141943,1878
142482,1873
143022,1872
143561,1872
144100,1872
144639,1872
145179,1875
145720,1873
146259,1872
146799,1873
147339,1872
147879,1873
148418,1873
148957,1874
149496,1874
150037,1872
150576,1872
151115,1873
151655,1872
152194,1878
152733,1872
153273,1875
153812,1872
154352,1872
154891,1872
155431,1873
155971,1873
156510,1873
157050,1872
157589,1874
158128,1872
158668,1872
159207,1872
159747,1874
160286,1872
160825,1872
161368,1873
161908,1877
162447,1873
162986,1872
163526,1873
164065,1872
164604,1875
165143,1872
