# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,A1_sept_baseline
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# warm 30 s
# warm 60 s
# warm 90 s
# warm 120 s
# warm 150 s
# warm 180 s
# warm 210 s
# warm 240 s
# warm 270 s
# warm 300 s
# warm 330 s
# warm 360 s
# warm 390 s
# warm 420 s
# warm 450 s
# warm 480 s
# warm 510 s
# warm 540 s
# warm 570 s
# warm 600 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,500.0002
# dt_sd_us,3.9999
# dt_min_us,496
# dt_max_us,504
# fs_hz_from_mean,1999.9993
# mean_code,1872.8157
# sd_code,1.1880
# min_code,1867
# max_code,1879
# mean_volts,1.509229
# sd_millivolts,0.9574
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,1873
543,1873
1039,1874
1543,1873
2039,1872
2543,1877
3039,1872
3543,1875
4039,1877
4543,1873
5039,1872
5543,1872
6039,1874
6543,1875
7039,1872
7543,1873
8039,1873
8543,1873
9039,1873
9543,1872
10039,1873
10543,1875
11039,1874
11543,1874
12039,1874
12543,1872
13039,1873
13543,1874
14039,1872
14543,1873
15039,1874
15543,1873
16039,1873
16543,1875
17039,1873
17543,1872
18039,1874
18543,1877
19039,1874
19543,1873
20039,1874
20543,1873
21039,1875
21543,1874
22039,1873
22543,1873
23039,1872
23543,1873
24039,1875
24543,1873
25039,1875
25543,1878
26039,1873
26543,1873
27039,1872
27543,1876
28039,1873
28543,1872
29039,1873
29543,1873
30039,1873
30543,1872
31039,1874
31543,1873
32039,1873
32543,1873
33039,1873
33543,1873
34039,1873
34543,1873
35039,1873
35543,1873
36039,1872
36543,1872
37039,1872
37543,1874
38039,1872
38543,1872
39039,1876
39543,1873
40039,1875
40543,1873
41039,1876
41543,1872
42039,1877
42543,1874
43039,1872
43543,1872
44039,1873
44543,1875
45039,1874
45543,1872
46039,1874
46543,1872
47039,1872
47543,1872
48039,1872
48543,1874
49039,1874
49543,1873
50039,1874
50543,1872
51039,1872
51543,1875
52039,1873
52543,1872
53039,1875
53543,1872
54039,1874
54543,1875
55039,1875
55543,1877
56039,1875
56543,1872
57039,1872
57543,1875
58039,1875
58543,1872
59039,1874
59543,1872
60039,1872
60543,1873
61039,1873
61543,1872
62039,1872
62543,1873
63039,1872
63543,1873
64039,1875
64543,1873
65039,1872
65543,1875
66039,1874
66543,1877
67039,1872
67543,1872
68039,1874
68543,1874
69039,1872
69543,1872
70039,1872
70543,1874
71039,1873
71543,1874
72039,1873
72543,1872
73039,1873
73543,1874
74039,1872
74543,1874
75039,1872
75543,1872
76039,1871
76543,1873
77039,1874
77543,1872
78039,1872
78543,1875
79039,1874
79543,1874
80039,1873
80543,1875
81039,1872
81543,1875
82039,1874
82543,1872
83039,1872
83543,1871
84039,1872
84543,1873
85039,1872
85543,1874
86039,1875
86543,1872
87039,1872
87543,1873
88039,1873
88543,1873
89039,1874
89543,1874
90039,1872
90543,1872
91039,1873
91543,1873
92039,1872
92543,1872
93039,1873
93543,1873
94039,1872
94543,1872
95039,1872
95543,1872
96039,1875
96543,1873
97039,1874
97543,1875
98039,1873
98543,1875
99039,1873
99543,1873
100039,1872
100543,1872
101039,1872
101543,1875
102039,1873
102543,1873
103039,1877
103543,1873
104039,1873
104543,1872
105039,1872
105543,1872
106039,1873
106543,1875
107039,1876
107543,1872
108039,1873
108543,1873
109039,1872
109543,1874
110039,1875
110543,1872
111039,1874
111543,1876
112039,1873
112543,1872
113039,1872
113543,1872
114039,1874
114543,1873
115039,1873
115543,1872
116039,1873
116543,1872
117039,1872
117543,1872
118039,1873
118543,1872
119039,1873
119543,1872
120039,1873
120543,1873
121039,1873
121543,1874
122039,1872
122543,1874
123039,1873
123543,1872
124039,1874
124543,1872
125039,1873
125543,1873
126039,1877
126543,1874
127039,1875
127543,1875
128039,1872
128543,1874
129039,1873
129543,1874
130039,1873
130543,1877
131039,1875
131543,1873
132039,1873
132543,1872
133039,1875
133543,1872
134039,1872
134543,1872
135039,1872
135543,1872
136039,1872
136543,1874
137039,1877
137543,1877
138039,1873
138543,1872
139039,1873
139543,1872
140039,1873
140543,1875
141039,1872
141543,1873
142039,1872
142543,1874
143039,1873
143543,1875
144039,1872
144543,1873
145039,1872
145543,1873
146039,1872
146543,1873
147039,1872
147543,1872
148039,1872
148543,1874
149039,1878
149543,1873
150039,1873
150543,1873
151039,1872
151543,1872
152039,1872
152543,1872
153039,1873
153543,1872
154039,1873
154543,1872
155039,1873
155543,1874
156039,1872
156543,1873
157039,1872
157543,1872
158039,1875
158543,1873
159039,1872
159543,1875
160039,1874
160543,1873
161039,1873
161543,1876
162039,1872
162543,1873
163039,1875
163543,1875
164039,1873
164543,1872
165039,1872
165543,1874
166039,1872
166543,1872
167039,1873
167543,1872
168039,1875
168543,1872
169039,1872
169543,1874
170039,1872
170543,1872
171039,1872
171543,1874
172039,1873
172543,1873
173039,1875
173543,1872
174039,1875
174543,1875
175039,1874
175543,1872
176039,1876
176543,1875
177039,1874
177543,1872
178039,1873
178543,1872
179039,1875
179543,1875
180039,1872
180543,1872
181039,1874
181543,1873
182039,1874
182543,1875
183039,1873
183543,1872
184039,1872
184543,1873
185039,1873
185543,1871
186039,1872
186543,1876
187039,1872
187543,1874
188039,1874
188543,1873
189039,1872
189543,1872
190039,1872
190543,1875
191039,1872
191543,1872
192039,1872
192543,1872
193039,1872
193543,1872
194039,1873
194543,1872
195039,1872
195543,1872
196039,1873
196543,1872
197039,1872
197543,1873
198039,1872
198543,1873
199039,1872
199543,1874
200039,1874
200543,1874
201039,1873
201543,1873
202039,1872
202543,1874
203039,1872
203543,1872
204039,1872
204543,1872
205039,1873
205543,1873
206039,1873
206543,1876
207039,1874
207543,1873
208039,1872
208543,1872
209039,1874
209543,1873
210039,1874
210543,1873
211039,1872
211543,1872
212039,1872
212543,1872
213039,1873
213543,1872
214039,1874
214543,1875
215039,1873
215543,1874
216039,1872
216543,1872
217039,1874
217543,1876
218039,1872
218543,1875
219039,1875
219543,1872
220039,1874
220543,1874
221039,1872
221543,1874
222039,1875
222543,1873
223039,1872
223543,1872
224039,1873
224543,1872
225039,1873
225543,1873
226039,1875
226543,1873
227039,1873
227543,1872
228039,1872
228543,1873
229039,1872
229543,1872
230039,1872
230543,1872
231039,1872
231543,1872
232039,1872
232543,1873
233039,1872
233543,1873
234039,1874
234543,1872
235039,1874
235543,1874
236039,1873
236543,1872
237039,1872
237543,1874
238039,1874
238543,1873
239039,1872
239543,1872
240039,1875
240543,1873
241039,1873
241543,1873
242039,1874
242543,1872
243039,1872
243543,1872
244039,1874
244543,1872
245039,1872
245543,1872
246039,1872
246543,1877
247039,1872
247543,1872
248039,1872
248543,1873
249039,1873
249543,1872
250039,1876
250543,1873
251039,1872
251543,1874
252039,1872
252543,1873
253039,1872
253543,1872
254039,1872
254543,1874
255039,1874
255543,1872
256039,1873
256543,1873
257039,1872
257543,1874
258039,1872
258543,1872
259039,1872
259543,1872
260039,1872
260543,1872
261039,1872
261543,1874
262039,1872
262543,1872
263039,1872
263543,1875
264039,1872
264543,1874
265039,1872
265543,1873
266039,1874
266543,1872
267039,1872
267543,1873
268039,1872
268543,1872
269039,1872
269543,1874
270039,1873
270543,1873
271039,1872
271543,1875
272039,1873
272543,1874
273039,1878
273543,1873
274039,1873
274543,1872
275039,1872
275543,1871
276039,1874
276543,1872
277039,1874
277543,1872
278039,1872
278543,1873
279039,1872
279543,1872
280039,1875
280543,1872
281039,1873
281543,1872
282039,1872
282543,1873
283039,1872
283543,1873
284039,1874
284543,1872
285039,1873
285543,1873
286039,1875
286543,1873
287039,1873
287543,1872
288039,1873
288543,1873
289039,1872
289543,1872
290039,1874
290543,1873
291039,1872
291543,1872
292039,1872
292543,1873
293039,1873
293543,1874
294039,1872
294543,1873
295039,1875
295543,1872
296039,1873
296543,1873
297039,1874
297543,1873
298039,1875
298543,1871
299039,1873
299543,1879
300039,1873
300543,1876
301039,1875
301543,1874
302039,1872
302543,1872
303039,1874
303543,1872
304039,1874
304543,1877
305039,1872
305543,1873
306039,1872
306543,1872
307039,1872
307543,1875
308039,1872
308543,1872
309039,1873
309543,1873
310039,1872
310543,1874
311039,1872
311543,1873
312039,1873
312543,1872
313039,1872
313543,1873
314039,1875
314543,1872
315039,1872
315543,1872
316039,1872
316543,1872
317039,1872
317543,1873
318039,1873
318543,1873
319039,1872
319543,1875
320039,1874
320543,1873
321039,1872
321543,1873
322039,1876
322543,1874
323039,1875
323543,1872
324039,1872
324543,1875
325039,1875
325543,1873
326039,1872
326543,1873
327039,1872
327543,1872
328039,1872
328543,1872
329039,1874
329543,1872
330039,1875
330543,1874
331039,1872
331543,1873
332039,1873
332543,1875
333039,1874
333543,1873
334039,1874
334543,1872
335039,1872
335543,1875
336039,1877
336543,1875
337039,1873
337543,1872
338039,1876
338543,1872
339039,1875
339543,1873
340039,1872
340543,1872
341039,1874
341543,1873
342039,1873
342543,1872
343039,1874
343543,1872
344039,1873
344543,1873
345039,1875
345543,1873
346039,1873
346543,1872
347039,1874
347543,1873
348039,1874
348543,1872
349039,1873
349543,1872
350039,1872
350543,1873
351039,1875
351543,1872
352039,1873
352543,1873
353039,1873
353543,1873
354039,1873
354543,1873
355039,1872
355543,1873
356039,1873
356543,1875
357039,1874
357543,1872
358039,1872
358543,1874
359039,1874
359543,1874
360039,1872
360543,1874
361039,1872
361543,1872
362039,1874
362543,1875
363039,1875
363543,1875
364039,1874
364543,1872
365039,1872
365543,1872
366039,1873
366543,1872
367039,1871
367543,1874
368039,1872
368543,1872
369039,1873
369543,1872
370039,1872
370543,1873
371039,1872
371543,1875
372039,1874
372543,1873
373039,1876
373543,1874
374039,1874
374543,1873
375039,1873
375543,1872
376039,1872
376543,1873
377039,1874
377543,1873
378039,1872
378543,1875
379039,1874
379543,1872
380039,1873
380543,1872
381039,1873
381543,1872
382039,1872
382543,1872
383039,1873
383543,1875
384039,1872
384543,1875
385039,1875
385543,1873
386039,1876
386543,1872
387039,1874
387543,1872
388039,1874
388543,1873
389039,1872
389543,1875
390039,1875
390543,1873
391039,1873
391543,1875
392039,1873
392543,1876
393039,1872
393543,1872
394039,1872
394543,1872
395039,1872
395543,1872
396039,1874
396543,1872
397039,1874
397543,1874
398039,1872
398543,1872
399039,1875
399543,1872
400039,1872
400543,1872
401039,1872
401543,1875
402039,1872
402543,1873
403039,1874
403543,1875
404039,1874
404543,1874
405039,1872
405543,1873
406039,1873
406543,1872
407039,1873
407543,1874
408039,1872
408543,1872
409039,1873
409543,1873
410039,1875
410543,1874
411039,1872
411543,1874
412039,1872
412543,1873
413039,1872
413543,1872
414039,1877
414543,1872
415039,1872
415543,1872
416039,1872
416543,1872
417039,1873
417543,1874
418039,1874
418543,1872
419039,1872
419543,1875
420039,1873
420543,1872
421039,1872
421543,1872
422039,1871
422543,1874
423039,1872
423543,1873
424039,1874
424543,1872
425039,1873
425543,1874
426039,1874
426543,1872
427039,1873
427543,1872
428039,1873
428543,1875
429039,1874
429543,1872
430039,1872
430543,1874
431039,1873
431543,1872
432039,1875
432543,1873
433039,1874
433543,1872
434039,1873
434543,1874
435039,1875
435543,1872
436039,1873
436543,1872
437039,1872
437543,1873
438039,1872
438543,1872
439039,1872
439543,1873
440039,1871
440543,1873
441039,1874
441543,1872
442039,1876
442543,1872
443039,1872
443543,1873
444039,1874
444543,1872
445039,1874
445543,1872
446039,1874
446543,1873
447039,1874
447543,1872
448039,1875
448543,1874
449039,1874
449543,1874
450039,1873
450543,1875
451039,1872
451543,1876
452039,1872
452543,1874
453039,1872
453543,1873
454039,1872
454543,1872
455039,1872
455543,1872
456039,1874
456543,1875
457039,1876
457543,1873
458039,1877
458543,1872
459039,1872
459543,1875
460039,1876
460543,1872
461039,1875
461543,1872
462039,1873
462543,1874
463039,1875
463543,1872
464039,1873
464543,1875
465039,1873
465543,1872
466039,1873
466543,1875
467039,1872
467543,1872
468039,1875
468543,1874
469039,1872
469543,1872
470039,1875
470543,1875
471039,1872
471543,1874
472039,1874
472543,1874
473039,1872
473543,1872
474039,1875
474543,1875
475039,1873
475543,1875
476039,1873
476543,1875
477039,1872
477543,1872
478039,1872
478543,1873
479039,1874
479543,1873
480039,1873
480543,1873
481039,1872
481543,1873
482039,1872
482543,1872
483039,1873
483543,1872
484039,1875
484543,1873
485039,1873
485543,1873
486039,1873
486543,1874
487039,1873
487543,1872
488039,1873
488543,1873
489039,1873
489543,1874
490039,1874
490543,1873
491039,1873
491543,1874
492039,1873
492543,1874
493039,1875
493543,1872
494039,1874
494543,1872
495039,1873
495543,1873
496039,1872
496543,1873
497039,1873
497543,1876
