iso_time,monotonic_s,frame_count,replay_index,f_target_hz,Va_rms,Vb_rms,Vc_rms,Ib_rms,Ic_rms,f_Va,f_Vb,f_Vc,THD_Va,THD_Vb,THD_Vc,Ph_VbIb,Ph_VcIc,Pb,Qb,Sb,PFb,Pc,Qc,Sc,PFc,FREQ_alarm,UV_alarm,THD_alarm,dnp3_bytes
2026-06-25T17:05:20.793+00:00,0.308,764,0,50.0450,0.9801,0.7985,0.8513,0.55840,0.58290,50.0586,50.0516,49.7129,7.894,1.385,7.840,38.916,39.078,0.31260,0.25240,0.40170,0.7781,0.39720,0.32260,0.51170,0.7763,0,0,1,147
2026-06-25T17:05:21.752+00:00,1.268,765,1,50.0420,0.9857,0.7982,0.8568,0.55950,0.58410,50.0556,50.0531,50.0544,7.493,2.054,7.842,48.708,38.718,0.26290,0.29940,0.39840,0.6599,0.40600,0.32550,0.52040,0.7802,0,0,1,147
2026-06-25T17:05:22.713+00:00,2.228,766,2,50.0400,0.9929,0.8013,0.8637,0.55990,0.58450,49.7894,50.0586,50.0582,7.833,2.307,7.337,48.762,38.736,0.26320,0.30030,0.39930,0.6592,0.40990,0.32880,0.52550,0.7800,0,0,1,147
2026-06-25T17:05:23.673+00:00,3.189,767,3,50.0380,0.9960,0.8042,0.8636,0.56190,0.58590,49.7924,50.0566,50.0563,7.832,2.251,8.749,39.060,48.474,0.31410,0.25490,0.40450,0.7765,0.34240,0.38660,0.51640,0.6630,0,0,1,147
2026-06-25T17:05:24.633+00:00,4.148,768,4,50.0350,0.9932,0.8057,0.8644,0.55670,0.59100,50.0611,50.0576,50.0582,8.678,2.428,8.350,38.736,48.474,0.31730,0.25450,0.40680,0.7800,0.34250,0.38680,0.51670,0.6630,0,0,1,147
2026-06-25T17:05:25.594+00:00,5.109,769,5,50.0330,0.9879,0.7982,0.8586,0.55830,0.58850,50.0576,49.7839,50.0569,8.963,1.893,7.314,38.808,39.078,0.31390,0.25240,0.40280,0.7793,0.40030,0.32510,0.51570,0.7763,0,0,1,147
2026-06-25T17:05:26.553+00:00,6.068,770,6,50.0320,0.9864,0.7983,0.8535,0.55970,0.58530,50.0571,50.0591,50.0626,7.860,2.027,7.588,48.816,38.898,0.26270,0.30020,0.39890,0.6585,0.40100,0.32350,0.51520,0.7783,0,0,1,147
2026-06-25T17:05:27.514+00:00,7.030,771,7,50.0350,0.9886,0.8003,0.8584,0.56010,0.58330,50.0536,50.0576,50.0563,7.641,2.045,7.892,48.708,38.754,0.26340,0.29990,0.39920,0.6599,0.40280,0.32330,0.51650,0.7798,0,0,1,147
2026-06-25T17:05:28.474+00:00,7.990,772,7,50.0350,0.9865,0.8029,0.8593,0.56070,0.58120,49.7869,50.0541,50.0544,7.849,2.158,8.137,39.078,38.736,0.31120,0.25270,0.40080,0.7763,0.40340,0.32360,0.51720,0.7800,0,0,1,147
2026-06-25T17:05:29.434+00:00,8.949,773,8,50.0340,0.9902,0.8040,0.8566,0.56130,0.58130,49.7899,50.0596,50.0563,7.742,2.538,8.825,38.880,48.492,0.31550,0.25440,0.40530,0.7785,0.33800,0.38190,0.51000,0.6627,0,0,1,147
2026-06-25T17:05:30.394+00:00,9.909,774,9,50.0350,0.9928,0.8056,0.8606,0.55690,0.58690,50.0546,50.0531,50.0576,7.976,2.529,8.807,38.736,48.492,0.31680,0.25410,0.40610,0.7800,0.33760,0.38150,0.50940,0.6627,0,0,1,147
2026-06-25T17:05:31.354+00:00,10.870,775,10,50.0340,0.9858,0.8031,0.8563,0.55820,0.58590,50.0566,49.7894,50.0551,8.854,2.117,8.683,38.790,38.718,0.31550,0.25360,0.40470,0.7794,0.40130,0.32170,0.51440,0.7802,0,0,1,147
2026-06-25T17:05:32.314+00:00,11.829,776,11,50.0350,0.9836,0.7981,0.8576,0.55940,0.58680,50.0576,50.0591,49.7203,7.858,2.031,7.619,38.862,39.060,0.31150,0.25100,0.40000,0.7787,0.40280,0.32680,0.51870,0.7765,0,0,1,147
2026-06-25T17:05:33.275+00:00,12.790,777,12,50.0360,0.9938,0.7995,0.8642,0.55970,0.58760,50.0531,50.0556,50.0488,7.235,2.015,7.727,48.726,38.754,0.26340,0.30010,0.39930,0.6597,0.41010,0.32920,0.52590,0.7798,0,0,1,147
2026-06-25T17:05:34.235+00:00,13.751,778,13,50.0340,0.9999,0.8031,0.8662,0.56020,0.58800,49.7909,50.0571,50.0588,7.763,2.199,7.304,39.078,38.736,0.31140,0.25280,0.40110,0.7763,0.41150,0.33010,0.52750,0.7800,0,0,1,147
2026-06-25T17:05:35.195+00:00,14.711,779,14,50.0290,0.9990,0.8049,0.8660,0.56080,0.58680,49.7909,50.0571,50.0569,7.235,2.536,8.699,39.042,38.790,0.31400,0.25460,0.40430,0.7767,0.41060,0.33000,0.52680,0.7794,0,0,1,147
2026-06-25T17:05:36.156+00:00,15.671,780,15,50.0270,0.9967,0.8060,0.8621,0.56090,0.58490,50.0621,50.0526,50.0551,8.698,1.815,8.449,38.736,48.528,0.31670,0.25410,0.40600,0.7800,0.34170,0.38660,0.51600,0.6623,0,0,1,147
2026-06-25T17:05:37.115+00:00,16.631,781,16,50.0250,0.9869,0.8006,0.8597,0.55850,0.58750,50.0576,49.7874,50.0569,9.058,1.559,7.664,38.826,38.916,0.31330,0.25220,0.40220,0.7791,0.40100,0.32380,0.51540,0.7781,0,0,1,147
2026-06-25T17:05:38.076+00:00,17.591,782,17,50.0250,0.9867,0.7998,0.8563,0.56020,0.58520,50.0561,50.0596,50.0626,8.158,1.835,7.127,48.600,38.880,0.26380,0.29920,0.39890,0.6613,0.40360,0.32550,0.51850,0.7785,0,0,1,147
2026-06-25T17:05:39.036+00:00,18.552,783,18,50.0260,0.9883,0.8000,0.8608,0.55990,0.58470,50.0551,50.0571,50.0645,7.323,2.220,7.777,48.780,38.898,0.26330,0.30060,0.39960,0.6590,0.40260,0.32490,0.51740,0.7783,0,0,1,147
2026-06-25T17:05:39.996+00:00,19.511,784,19,50.0250,0.9923,0.8026,0.8606,0.56050,0.58310,49.7879,50.0566,50.0551,7.899,2.189,7.520,39.078,38.754,0.31230,0.25360,0.40230,0.7763,0.40500,0.32510,0.51940,0.7798,0,0,1,147
2026-06-25T17:05:40.956+00:00,20.471,785,20,50.0220,0.9953,0.8053,0.8617,0.56090,0.58220,49.7854,50.0561,50.0576,7.553,2.500,8.594,39.042,38.736,0.31290,0.25380,0.40290,0.7767,0.40530,0.32510,0.51960,0.7800,0,0,1,147
2026-06-25T17:05:41.917+00:00,21.432,786,21,50.0200,0.9923,0.8053,0.8580,0.56090,0.58260,49.7899,50.0596,50.0544,7.726,2.293,8.803,39.042,38.826,0.31440,0.25500,0.40480,0.7767,0.40580,0.32650,0.52080,0.7791,0,0,1,147
2026-06-25T17:05:42.876+00:00,22.392,787,22,50.0160,0.9927,0.8055,0.8588,0.56070,0.58210,50.0626,50.0531,50.0582,8.514,1.892,8.359,38.754,48.474,0.31680,0.25430,0.40620,0.7798,0.33930,0.38320,0.51180,0.6630,0,0,1,147
2026-06-25T17:05:43.836+00:00,23.351,788,23,50.0120,0.9843,0.7999,0.8535,0.55850,0.58630,50.0541,49.7929,50.0557,8.962,1.758,8.537,38.808,38.736,0.31400,0.25250,0.40290,0.7793,0.40080,0.32160,0.51390,0.7800,0,0,1,147
2026-06-25T17:05:44.797+00:00,24.312,789,24,50.0070,0.9851,0.7984,0.8574,0.55940,0.58610,50.0581,50.0551,49.7228,7.848,2.194,7.698,48.546,39.060,0.26430,0.29920,0.39920,0.6620,0.40170,0.32600,0.51730,0.7765,0,0,1,147
2026-06-25T17:05:45.757+00:00,25.273,790,25,50.0030,0.9920,0.8023,0.8605,0.56040,0.58490,50.0546,50.0541,50.0563,7.208,2.353,7.743,39.006,38.718,0.31160,0.25240,0.40100,0.7771,0.40780,0.32690,0.52260,0.7802,0,0,1,147
2026-06-25T17:05:46.717+00:00,26.233,791,26,49.9990,0.9982,0.8046,0.8656,0.56100,0.58590,49.7919,50.0521,50.0576,7.806,2.387,7.316,39.060,38.718,0.31250,0.25360,0.40240,0.7765,0.41060,0.32910,0.52620,0.7802,0,0,1,147
2026-06-25T17:05:47.677+00:00,27.192,792,27,49.9970,0.9963,0.8067,0.8668,0.56050,0.58580,49.7879,50.0490,50.0582,7.738,2.466,7.949,39.060,38.736,0.31340,0.25430,0.40360,0.7765,0.41010,0.32900,0.52580,0.7800,0,0,1,147
2026-06-25T17:05:48.638+00:00,28.153,793,28,49.9950,0.9976,0.8065,0.8635,0.56100,0.58640,49.7899,50.0596,50.0563,7.254,2.167,8.732,39.042,38.790,0.31490,0.25540,0.40540,0.7767,0.41090,0.33020,0.52710,0.7794,0,0,1,147
2026-06-25T17:05:49.597+00:00,29.113,794,29,49.9970,0.9974,0.8056,0.8628,0.56060,0.58590,50.0601,50.0531,50.0563,8.375,2.068,8.361,38.736,48.492,0.31670,0.25400,0.40600,0.7800,0.34310,0.38760,0.51760,0.6627,0,0,1,147
2026-06-25T17:05:50.558+00:00,30.074,795,30,49.9990,0.9878,0.8001,0.8578,0.55910,0.58920,50.0571,49.7909,50.0494,8.567,2.038,8.530,38.826,48.582,0.31420,0.25280,0.40330,0.7791,0.34310,0.38890,0.51860,0.6615,0,0,1,147
2026-06-25T17:05:51.518+00:00,31.033,796,31,50.0050,0.9897,0.7965,0.8598,0.55970,0.59000,50.0526,50.0581,49.7135,8.670,2.253,7.444,38.826,39.060,0.31160,0.25070,0.39990,0.7791,0.40460,0.32830,0.52100,0.7765,0,0,1,147
2026-06-25T17:05:52.477+00:00,31.993,797,31,50.0050,0.9939,0.8018,0.8651,0.56030,0.58870,50.0601,50.0581,50.0601,7.757,2.414,7.590,38.934,38.916,0.31050,0.25090,0.39920,0.7779,0.40800,0.32940,0.52440,0.7781,0,0,1,147
2026-06-25T17:05:53.438+00:00,32.953,798,32,50.0090,0.9964,0.8042,0.8674,0.56060,0.58720,49.7864,50.0551,50.0557,7.314,2.296,7.674,38.916,38.736,0.31240,0.25220,0.40150,0.7781,0.40940,0.32840,0.52480,0.7800,0,0,1,147
2026-06-25T17:05:54.399+00:00,33.914,799,33,50.0120,1.0001,0.8059,0.8683,0.56110,0.58630,49.7899,50.0551,50.0607,7.808,2.570,7.310,39.078,38.736,0.31370,0.25470,0.40410,0.7763,0.41040,0.32930,0.52620,0.7800,0,0,1,147
2026-06-25T17:05:55.359+00:00,34.874,800,34,50.0140,0.9974,0.8046,0.8672,0.56020,0.58630,49.7919,50.0566,50.0526,7.884,2.010,8.660,38.880,48.510,0.31670,0.25530,0.40680,0.7785,0.34190,0.38660,0.51620,0.6625,0,0,1,147
2026-06-25T17:05:56.319+00:00,35.834,801,35,50.0150,0.9966,0.8047,0.8653,0.55810,0.59070,50.0586,50.0571,50.0544,8.381,2.058,8.508,38.736,48.492,0.31650,0.25390,0.40580,0.7800,0.34230,0.38680,0.51650,0.6627,0,0,1,147
2026-06-25T17:05:57.279+00:00,36.795,802,36,50.0170,0.9872,0.7999,0.8613,0.55890,0.58800,50.0556,50.0626,50.0569,9.072,1.790,7.931,38.808,38.916,0.31270,0.25150,0.40130,0.7793,0.40250,0.32500,0.51740,0.7781,0,0,1,147
2026-06-25T17:05:58.239+00:00,37.754,803,37,50.0190,0.9895,0.8005,0.8594,0.56000,0.58720,50.0536,50.0526,49.7265,8.116,2.219,7.338,48.420,39.060,0.26480,0.29850,0.39910,0.6637,0.40340,0.32740,0.51960,0.7765,0,0,1,147
2026-06-25T17:05:59.200+00:00,38.715,804,38,50.0150,0.9912,0.8012,0.8597,0.56010,0.58670,50.0586,50.0591,50.0576,7.812,2.343,7.548,38.916,38.880,0.31220,0.25210,0.40130,0.7781,0.40450,0.32610,0.51960,0.7785,0,0,1,147
2026-06-25T17:06:00.160+00:00,39.675,805,39,50.0100,0.9928,0.8045,0.8636,0.56090,0.58500,50.0500,50.0521,50.0626,7.277,2.125,7.857,38.916,38.736,0.31290,0.25260,0.40210,0.7781,0.40790,0.32720,0.52290,0.7800,0,0,1,147
2026-06-25T17:06:01.119+00:00,40.635,806,40,50.0080,0.9964,0.8049,0.8642,0.56040,0.58500,49.7899,50.0591,50.0576,7.860,2.638,7.512,39.078,38.736,0.31430,0.25520,0.40490,0.7763,0.40740,0.32680,0.52230,0.7800,0,0,1,147
2026-06-25T17:06:02.081+00:00,41.596,807,41,50.0060,0.9979,0.8051,0.8648,0.56100,0.58440,49.7829,50.0571,50.0569,7.484,2.009,8.521,39.078,38.736,0.31500,0.25580,0.40580,0.7763,0.40810,0.32740,0.52320,0.7800,0,0,1,147
2026-06-25T17:06:03.041+00:00,42.556,808,42,50.0040,0.9941,0.8032,0.8590,0.56070,0.58380,49.7934,50.0551,50.0569,7.695,1.843,8.768,38.898,48.474,0.31650,0.25530,0.40660,0.7783,0.33890,0.38270,0.51110,0.6630,0,0,1,147
2026-06-25T17:06:04.000+00:00,43.515,809,43,49.9990,0.9893,0.8031,0.8583,0.55850,0.58880,50.0581,50.0581,50.0551,8.632,2.038,8.476,38.736,48.510,0.31470,0.25250,0.40350,0.7800,0.33970,0.38410,0.51280,0.6625,0,0,1,147
2026-06-25T17:06:04.961+00:00,44.476,810,44,49.9950,0.9839,0.7984,0.8580,0.55920,0.58580,50.0586,50.0561,49.7185,8.681,2.303,7.326,38.790,39.096,0.31120,0.25010,0.39920,0.7794,0.39970,0.32480,0.51510,0.7761,0,0,1,147
2026-06-25T17:06:05.921+00:00,45.436,811,45,49.9210,0.9898,0.8025,0.8571,0.56100,0.58500,50.0556,50.0571,50.0620,8.204,2.227,7.487,38.754,38.916,0.31240,0.25080,0.40060,0.7798,0.40190,0.32450,0.51650,0.7781,0,0,1,147
2026-06-25T17:06:06.881+00:00,46.396,812,46,49.7700,0.9959,0.8055,0.8622,0.56090,0.58340,49.7894,50.0496,50.0576,7.835,1.896,7.944,39.060,38.754,0.31490,0.25550,0.40550,0.7765,0.41440,0.33270,0.53150,0.7798,0,0,1,147
2026-06-25T17:06:07.821+00:00,47.336,813,47,49.6330,1.0024,0.7959,0.8707,0.56180,0.59180,49.7884,50.0576,50.0569,7.556,1.690,8.822,39.258,38.808,0.33180,0.27110,0.42850,0.7743,0.41840,0.33650,0.53700,0.7793,0,0,1,147
2026-06-25T17:06:08.780+00:00,48.295,814,48,49.5370,1.0064,0.7451,0.8751,0.53240,0.59110,50.0581,49.7909,50.0538,8.599,1.691,8.530,38.970,48.474,0.32670,0.26430,0.42020,0.7775,0.31500,0.35570,0.47520,0.6630,0,0,1,147
2026-06-25T17:06:09.721+00:00,49.236,815,49,49.4680,0.9333,0.7907,0.8001,0.55750,0.53270,50.0541,49.7222,50.0538,15.166,2.343,14.118,39.042,39.240,0.32710,0.26530,0.42110,0.7767,0.35600,0.29070,0.45960,0.7745,0,0,1,147
2026-06-25T17:06:10.661+00:00,50.177,816,50,49.4280,0.9366,0.7968,0.8378,0.56110,0.56700,50.0569,49.5216,50.0544,8.380,1.966,6.971,38.754,38.916,0.34010,0.27300,0.43610,0.7798,0.40790,0.32930,0.52420,0.7781,0,0,1,147
2026-06-25T17:06:11.601+00:00,51.116,817,51,49.3720,0.9775,0.7553,0.8450,0.53630,0.56680,50.0591,49.3894,49.7277,14.338,1.716,16.288,38.826,39.060,0.34000,0.27370,0.43650,0.7791,0.31950,0.25930,0.41140,0.7765,1,0,1,147
2026-06-25T17:06:12.561+00:00,52.076,818,52,49.3310,0.9225,0.7549,0.7987,0.53680,0.55560,49.7874,49.2591,50.0551,7.473,1.768,7.656,48.744,38.736,0.28830,0.32870,0.43730,0.6594,0.40570,0.32540,0.52010,0.7800,1,0,1,147
2026-06-25T17:06:13.502+00:00,53.017,819,52,49.3310,0.9642,0.7798,0.8169,0.54990,0.54740,49.7899,49.3925,50.0519,16.004,1.707,13.843,48.474,38.736,0.28300,0.31960,0.42690,0.6630,0.36600,0.29360,0.46920,0.7800,1,0,1,147
2026-06-25T17:06:14.462+00:00,53.977,820,53,49.2940,0.9804,0.8049,0.8618,0.56250,0.59830,49.7924,49.2606,50.0563,7.780,1.635,10.115,38.808,38.808,0.31630,0.25440,0.40590,0.7793,0.33470,0.26920,0.42960,0.7793,1,0,1,147
2026-06-25T17:06:15.420+00:00,54.935,821,54,49.2720,0.8906,0.7676,0.7484,0.54410,0.50660,50.0626,49.3906,50.0563,9.331,2.017,8.640,39.402,48.492,0.32990,0.27100,0.42690,0.7727,0.35130,0.39690,0.53010,0.6627,1,0,1,147
2026-06-25T17:06:16.362+00:00,55.878,822,55,49.2740,0.9931,0.7510,0.8630,0.53110,0.58410,50.0556,49.0647,50.0544,14.876,1.827,13.671,38.970,39.222,0.32020,0.25900,0.41180,0.7775,0.37310,0.30450,0.48160,0.7747,1,0,1,147
2026-06-25T17:06:17.323+00:00,56.838,823,56,49.2250,0.9679,0.7799,0.8703,0.55970,0.59150,50.0513,49.2562,50.0576,8.255,1.653,9.759,39.060,38.754,0.31640,0.25680,0.40750,0.7765,0.33780,0.27110,0.43310,0.7798,1,0,1,147
2026-06-25T17:06:18.282+00:00,57.798,824,57,49.2050,0.8967,0.7695,0.7588,0.55120,0.50870,50.0601,49.0635,49.7191,8.250,1.675,7.776,39.474,39.060,0.33550,0.27630,0.43460,0.7719,0.41500,0.33670,0.53440,0.7765,1,0,1,147
2026-06-25T17:06:19.222+00:00,58.737,825,58,49.1970,0.9840,0.7760,0.8409,0.54380,0.56120,49.7879,49.0629,50.0563,15.193,1.855,10.740,38.880,48.402,0.31920,0.25740,0.41000,0.7785,0.34510,0.38870,0.51980,0.6639,1,0,1,147
2026-06-25T17:06:20.163+00:00,59.678,826,59,49.1730,1.0041,0.7921,0.8792,0.55350,0.60600,49.7904,49.0623,50.0538,11.107,1.787,15.243,39.078,38.718,0.33790,0.27440,0.43530,0.7763,0.32270,0.25870,0.41360,0.7802,1,0,1,147
2026-06-25T17:06:21.124+00:00,60.639,827,60,49.1510,0.9268,0.7725,0.8082,0.54390,0.56650,49.7909,48.9980,50.0569,7.831,1.691,9.024,48.708,48.510,0.27400,0.31200,0.41520,0.6599,0.29260,0.33090,0.44170,0.6625,1,0,1,147
2026-06-25T17:06:22.083+00:00,61.598,828,61,49.1360,0.8966,0.7648,0.7586,0.55630,0.51160,50.0586,49.0611,50.0538,8.702,1.750,8.818,39.258,48.474,0.34230,0.27980,0.44210,0.7743,0.34730,0.39220,0.52390,0.6630,1,0,1,147
2026-06-25T17:06:23.043+00:00,62.558,829,62,49.1310,0.9611,0.7947,0.8208,0.55470,0.54520,50.0576,49.0647,50.0532,11.867,2.101,8.655,38.736,38.772,0.32170,0.25810,0.41250,0.7800,0.41580,0.33390,0.53330,0.7796,1,0,1,147
2026-06-25T17:06:24.002+00:00,63.517,830,63,49.1260,0.9941,0.7373,0.8707,0.53300,0.59200,50.0576,49.0653,49.7203,14.209,1.653,11.011,39.060,38.952,0.32250,0.26170,0.41530,0.7765,0.40850,0.33020,0.52530,0.7777,1,0,1,147
2026-06-25T17:06:24.944+00:00,64.460,831,64,49.1410,1.0060,0.7841,0.8805,0.54680,0.60020,49.7874,49.0629,50.0557,12.311,1.754,14.175,38.808,39.204,0.32110,0.25820,0.41200,0.7793,0.37530,0.30610,0.48430,0.7749,1,0,1,147
2026-06-25T17:06:25.884+00:00,65.400,832,65,49.1410,0.9878,0.7728,0.8913,0.55490,0.60080,50.0626,49.0617,50.0544,9.234,1.685,13.280,48.420,38.808,0.28210,0.31790,0.42500,0.6637,0.32640,0.26250,0.41880,0.7793,1,0,1,147
2026-06-25T17:06:26.824+00:00,66.339,833,66,49.0850,0.9177,0.7573,0.7928,0.53660,0.55180,50.0516,48.9985,50.0563,8.610,1.802,8.791,39.096,48.474,0.32090,0.26070,0.41340,0.7761,0.29370,0.33160,0.44300,0.6630,1,0,1,147
2026-06-25T17:06:27.784+00:00,67.299,834,67,49.1070,0.8996,0.7834,0.7717,0.54700,0.51800,50.0561,49.0623,50.0594,9.159,1.736,8.179,38.736,38.772,0.33870,0.27170,0.43420,0.7800,0.40100,0.32210,0.51440,0.7796,1,0,1,147
2026-06-25T17:06:28.744+00:00,68.260,835,68,49.1170,0.9450,0.8054,0.8019,0.56080,0.53330,50.0596,49.3931,50.0576,9.885,1.890,7.459,39.258,39.042,0.33120,0.27070,0.42780,0.7743,0.41630,0.33760,0.53600,0.7767,1,0,1,147
2026-06-25T17:06:29.702+00:00,69.218,836,69,49.1200,1.0020,0.7426,0.8615,0.53720,0.57670,49.7859,49.0665,50.0482,14.851,2.340,9.547,39.060,48.420,0.31550,0.25600,0.40630,0.7765,0.35110,0.39570,0.52900,0.6637,1,0,1,147
2026-06-25T17:06:30.644+00:00,70.160,837,70,49.0830,1.0005,0.7700,0.8813,0.54370,0.60470,49.7904,49.0629,50.0563,13.961,2.399,14.473,48.528,39.240,0.27470,0.31080,0.41480,0.6623,0.38980,0.31840,0.50330,0.7745,1,0,1,147
2026-06-25T17:06:31.585+00:00,71.101,838,71,49.1280,0.9984,0.7822,0.8956,0.54780,0.60230,50.0638,49.0641,50.0538,9.898,1.744,14.698,38.736,38.790,0.33470,0.26850,0.42910,0.7800,0.31810,0.25570,0.40820,0.7794,1,0,1,147
2026-06-25T17:06:32.526+00:00,72.041,839,72,49.1050,0.9207,0.7600,0.8010,0.54230,0.55960,50.0576,49.2596,50.0538,8.637,1.600,10.558,38.736,48.492,0.31570,0.25320,0.40470,0.7800,0.27550,0.31130,0.41570,0.6627,1,0,1,147
2026-06-25T17:06:33.485+00:00,73.001,840,72,49.1050,0.8859,0.7433,0.7553,0.53980,0.51160,50.0581,49.0617,50.0569,9.001,1.881,8.893,48.492,48.456,0.28910,0.32660,0.43620,0.6627,0.32010,0.36120,0.48270,0.6632,1,0,1,147
2026-06-25T17:06:34.445+00:00,73.961,841,73,49.1000,0.9215,0.7834,0.7754,0.56360,0.51430,50.0556,49.0611,49.7209,9.928,1.777,7.848,29.556,39.060,0.37320,0.21160,0.42900,0.8699,0.41500,0.33680,0.53450,0.7765,1,0,1,147
2026-06-25T17:06:35.406+00:00,74.921,842,74,49.1520,0.9838,0.7773,0.8404,0.54360,0.55880,50.0556,49.0641,50.0551,15.220,1.844,9.383,48.762,48.564,0.27190,0.31020,0.41250,0.6592,0.35020,0.39670,0.52920,0.6618,1,0,1,147
2026-06-25T17:06:36.346+00:00,75.861,843,75,49.1360,1.0040,0.7480,0.8818,0.53720,0.60400,49.7943,49.0641,50.0594,14.909,1.809,13.765,38.826,48.492,0.32840,0.26430,0.42150,0.7791,0.31970,0.36130,0.48250,0.6627,1,0,1,147
