REPORT,497456,Va=0.8304,Vb=0.7766,Vc=0.7661,Ib=0.5494,Ic=0.5309,f_Vb=50.0013
DIAG,497456,fs_Va=2000,fs_Vb=2000,fs_Vc=2000,fs_Ib=2000,fs_Ic=2000
REPORT,497476,Va=0.8300,Vb=0.7768,Vc=0.7655,Ib=0.5492,Ic=0.5304,f_Vb=50.0025
REPORT,497496,Va=0.8302,Vb=0.7768,Vc=0.7652,Ib=0.5497,Ic=0.5295,f_Vb=50.0013
REPORT,497516,Va=0.8302,Vb=0.7769,Vc=0.7653,Ib=0.5496,Ic=0.5306,f_Vb=50.0025
REPORT,497536,Va=0.8301,Vb=0.7769,Vc=0.7653,Ib=0.5498,Ic=0.5302,f_Vb=50.0000
REPORT,497556,Va=0.8277,Vb=0.7767,Vc=0.7630,Ib=0.5495,Ic=0.5286,f_Vb=49.9987
REPORT,497576,Va=0.8290,Vb=0.7772,Vc=0.7640,Ib=0.5502,Ic=0.5287,f_Vb=50.0013
REPORT,497596,Va=0.8302,Vb=0.7767,Vc=0.7653,Ib=0.5494,Ic=0.5293,f_Vb=50.0000
REPORT,497616,Va=0.8298,Vb=0.7768,Vc=0.7656,Ib=0.5493,Ic=0.5303,f_Vb=50.0013
REPORT,497636,Va=0.8307,Vb=0.7767,Vc=0.7659,Ib=0.5490,Ic=0.5305,f_Vb=50.0000
REPORT,497656,Va=0.8308,Vb=0.7767,Vc=0.7665,Ib=0.5498,Ic=0.5305,f_Vb=50.0000
REPORT,497676,Va=0.8311,Vb=0.7768,Vc=0.7664,Ib=0.5495,Ic=0.5309,f_Vb=50.0000
REPORT,497696,Va=0.8307,Vb=0.7769,Vc=0.7662,Ib=0.5493,Ic=0.5305,f_Vb=50.0000
REPORT,497716,Va=0.8312,Vb=0.7766,Vc=0.7664,Ib=0.5490,Ic=0.5311,f_Vb=50.0013
REPORT,497736,Va=0.8313,Vb=0.7768,Vc=0.7668,Ib=0.5502,Ic=0.5316,f_Vb=50.0000
REPORT,497756,Va=0.8313,Vb=0.7768,Vc=0.7673,Ib=0.5495,Ic=0.5312,f_Vb=50.0000
REPORT,497776,Va=0.8321,Vb=0.7765,Vc=0.7679,Ib=0.5490,Ic=0.5313,f_Vb=50.0000
REPORT,497796,Va=0.8323,Vb=0.7763,Vc=0.7681,Ib=0.5494,Ic=0.5324,f_Vb=50.0000
REPORT,497816,Va=0.8328,Vb=0.7767,Vc=0.7686,Ib=0.5490,Ic=0.5326,f_Vb=49.9987
REPORT,497836,Va=0.8332,Vb=0.7768,Vc=0.7686,Ib=0.5492,Ic=0.5328,f_Vb=49.9963
REPORT,497856,Va=0.8328,Vb=0.7767,Vc=0.7687,Ib=0.5497,Ic=0.5337,f_Vb=49.9963
REPORT,497876,Va=0.8326,Vb=0.7768,Vc=0.7688,Ib=0.5494,Ic=0.5327,f_Vb=49.9963
REPORT,497896,Va=0.8324,Vb=0.7772,Vc=0.7686,Ib=0.5500,Ic=0.5322,f_Vb=50.0000
REPORT,497916,Va=0.8328,Vb=0.7763,Vc=0.7683,Ib=0.5492,Ic=0.5319,f_Vb=50.0013
REPORT,497936,Va=0.8325,Vb=0.7768,Vc=0.7684,Ib=0.5494,Ic=0.5324,f_Vb=50.0013
REPORT,497956,Va=0.8327,Vb=0.7769,Vc=0.7686,Ib=0.5498,Ic=0.5327,f_Vb=50.0000
REPORT,497976,Va=0.8335,Vb=0.7769,Vc=0.7688,Ib=0.5500,Ic=0.5331,f_Vb=50.0000
REPORT,497996,Va=0.8344,Vb=0.7767,Vc=0.7702,Ib=0.5499,Ic=0.5333,f_Vb=50.0000
REPORT,498016,Va=0.8348,Vb=0.7766,Vc=0.7712,Ib=0.5492,Ic=0.5337,f_Vb=50.0000
REPORT,498036,Va=0.8346,Vb=0.7772,Vc=0.7707,Ib=0.5496,Ic=0.5338,f_Vb=50.0025
REPORT,498056,Va=0.8354,Vb=0.7765,Vc=0.7713,Ib=0.5495,Ic=0.5341,f_Vb=50.0050
REPORT,498076,Va=0.8351,Vb=0.7772,Vc=0.7711,Ib=0.5493,Ic=0.5343,f_Vb=50.0050
